参数名,数据类型,默认值,含义
wall_break_xmax,real array,0.,Maximum x coordinate for wall break；数组长度/上限：20
wall_break_zmin,real array,0.,Minimum z coordinate for wall break；数组长度/上限：20
wall_break_zmax,real array,0.,Maximum z coordinate for wall break；数组长度/上限：20
wall_break_phimin,real array,0.,Minimum phi coordinate for wall break；数组长度/上限：20
wall_break_phimax,real array,0.,Maximum phi coordinate for wall break；数组长度/上限：20
iwall_regions,integer,0,Number of resistive wall regions
wall_region_eta,real array,1e-3,Resistivity of each wall region；数组长度/上限：20
wall_region_etaRZ,real array,-1.,Poloidal Resistivity of each wall region；-1 表示校验后逐区域取对应 `wall_region_eta(i)`；每个 `wall_region_etaRZ(i)<0` 时改为对应 `wall_region_eta(i)`；数组长度/上限：20
eta_zone,real array,0.,Resistivity of mesh zone；托卡马克：为 `zone_type(i)=2` 的导体 zone 指定标量电阻率，正值优先于全局 `eta_wall`；适合显式第一壁/导体区域。仿星器：数值优先级相同，但只有用户事先设计了与 VMEC/bloat 映射后物理位置一致的导体 zone 才有物理意义；数组长度/上限：100
etaRZ_zone,real array,0.,Poloidal resistivity of mesh zone；托卡马克：为导体 zone 指定极向电阻率，正值优先于 `eta_zone`，否则回退到全局 `eta_wallRZ`。仿星器：用法相同，但程序不会检查该 zone 是否真的对应物理导体壁；数组长度/上限：100
wall_region_filename,character(len=256) array,"""""",Resistivity of each wall region；字符数组；每个 wall region 轮廓点文件名；数组长度/上限：20
eta_rekc,real,0.,Resistivity of runaway-electron killer coil (REKC)
ntor_rekc,integer,0,Toroidal mode number of REKC
mpol_rekc,integer,0,Poloidal mode number of REKC
isym_rekc,integer,0,"if nonzero, a double helix"
phi_rekc,real,0.,Toroidal angle of fixed point of REKC
theta_rekc,real,0.,Poloidal angle of fixed point of REKC
sigma_rekc,real,0.,Angular half-width of REKC
rzero_rekc,real,0.,R0 for computing theta of REKC
zzero_rekc,real,0.,Z0 for computing theta of REKC
ntimemax,integer,20,Total number of timesteps
integrator,integer,0,时间离散选择：0 为 theta/Crank-Nicolson 家族；1 为 BDF2，且程序把 `thimp` 强制为 1，首步使用一阶隐式启动
isplitstep,integer,1,0: Unsplit time step; 1: Split time step
iteratephi,integer,0,分裂推进中，更新密度/输运后再重算一次磁场推进；只用于非线性分裂步，线性模式禁止
imp_mod,integer,1,Type of split step. 0: Standard; 1: Caramana；当前默认 1。0: standard/theta implicit；1: Caramana split-step 形式；`isplitstep=0` 时校验阶段强制 `imp_mod=0`
caramana_fac,real,1.,Coefficient for the explicit term in Caramana method. 1: Caramana; 0: implicit
idiff,integer,0,"only solve for difference in B,p"
idifv,integer,0,only solve for difference in v
irecalc_eta,integer,0,分裂步密度求解后重新计算输运系数，使电阻率等使用更新后的密度/温度
iconst_eta,integer,0,1 时冻结初始电阻率场，不随温度/密度演化重新构造
itime_independent,integer,0,线性模式下去掉普通时间导数并求频域/稳态响应；程序同时令 `thimp=1`，`frequency` 给出复频率
thimp,real,0.5,Implicitness of timestep (.5<thimp<1)
thimpsm,real,1.,平滑器/辅助隐式项使用的 theta 权重，与主时间离散的 `thimp` 分开
harned_mikic,real,0.,二场模型的 Harned-Mikic 数值稳定项系数；0 关闭，非零时抑制特定高速/高频耦合
isources,integer,0,1 时把粒子注入等源项导致的动量修正放入速度推进；要求计算标量诊断以取得所需全局量
nskip,integer,1,有限元系统矩阵重建的时间步间隔；1 每步重建，较大值在系数变化慢时复用矩阵
pskip,integer,0,控制预条件器重算与复用周期；默认值为 0
iskippc,integer,1,后端线性求解中预条件器可复用的调用次数/周期控制；与分裂步层面的 `pskip` 分开
dt,real,0.1,Size of time step
ddt,real,0.,时间推进参数，用于设置时间步长及其允许变化范围
frequency,real,0.,Frequency in time-independent calculations
gamma_gr_stop,integer,0,Stop linear simulation when growth rate gamma is converged
nt_gamma_gr,integer,10,Number of time steps considered for gamma convergence check
gamma_gr_stop_std,real,0.01,Standard deviation under which gamma is considered converged
dtmin,real,4.0,minimum time step
dtmax,real,40.,maximum time step
dtkecrit,real,0.0,ekin limit on timestep
dtfrac,real,0.1,fractional change of time step
max_repeat,integer,1,maximum number of times a time step can be attempted
ksp_max,integer,10000,maximum number of ksp iterations without repeating time step
ksp_min,integer,500,time step is increased if max ksp iterations is less than this
ksp_warn,integer,1000,time step is reduced if max ksp iterations exceeds this
jadv,integer,1,Use Del*(psi) eqn. instead of psi eqn.；1 使用环向电流密度方程代替极向磁通方程；默认值为 1
int_pts_main,integer,25,主演化弱式在每个二维三角形上的 Gaussian 积分点数；必须是程序已实现的 Dunavant 阶数
int_pts_aux,integer,25,辅助场投影/构造所用的二维积分点数；提高它增加后处理与系数构造成本
int_pts_diag,integer,25,标量和诊断积分使用的二维积分点数
int_pts_tor,integer,5,三维棱柱在环向 Hermite 方向的积分点数；非 3D 编译会强制为 1，且与二维点数乘积不能超过内部上限
max_ke,real,1.,Value of ke at which linear sims are rescaled；(ignore if 0)
equilibrate,integer,0,数值选项相关速率/源强参数，表示注入、损失、冷却、控制或演化的强度
regular,real,0.,小分母/坐标奇点的正则化尺度；USEST 逻辑 rho 模型使用 `sqrt(rho^2+regular^2)`，压缩势方程也复用该量
iset_pe_floor,integer,0,1: Do not let pe drop below pe_floor
pe_floor,real,0.,Minimum allowed value for pe when iset_pe_floor=1
iset_pi_floor,integer,0,1: Do not let pi drop below pi_floor
pi_floor,real,0.,Minimum allowed value for pi when iset_pi_floor=1
iset_ne_floor,integer,0,1: Do not let ne drop below ne_floor
ne_floor,real,0.,Minimum allowed value for ne when iset_ne_floor=1
iset_ni_floor,integer,0,1: Do not let ni drop below ni_floor
ni_floor,real,0.,Minimum allowed value for ni when iset_ni_floor=1
iset_te_floor,integer,0,1: Do not let Te drop below te_floor
te_floor,real,0.,Minimum allowed value for Te when iset_te_floor=1
iset_ti_floor,integer,0,1: Do not let Ti drop below ti_floor
ti_floor,real,0.,Minimum allowed value for Ti when iset_ti_floor=1
iprecompute_metric,integer,0,1: precompute full metric tensor
solver_tol,real,1e-9,solver tolerance
solver_type,integer,0,Solver type
num_iter,integer,100,Maximum number of iterations
isolve_with_guess,integer,0,newsolve with nonzero initial guess
krylov_solver,character(len=50),gmres,Krylov solver
preconditioner,character(len=50),dom_decomp,Preconditioner
sub_dom_solver,character(len=50),ilu,Subdomain solver in preconditioner
subdomain_overlap,integer,1,subdomain overlap
graph_fill,integer,0,graph fill level
drop_tolerance,real,0.0,ILU drop tolerance
ilu_fill_level,real,1.0,ILU fill level
ilu_omega,real,1.0,Relaxation parameter for rILU
poly_ord,integer,1,Polynomial order for certain preconditioners
iadapt,integer,0,SCOREC 网格自适应总模式：0 关闭；1 初始化按磁通；2 推进中按误差；3 两者结合；4 初始化和推进均可按误差
ispradapt,integer,0,1 启用 SPR 梯度恢复自适应，并在推进阶段替代普通 residual/error 路径
isprntime,integer,10,SPR 自适应的时间步调用周期
isprweight,real,0.1,SPR 恢复误差转换为目标尺寸时的权重，控制细化强度
isprmaxsize,real,0.05,SPR 目标尺寸场允许的最大单元尺寸
isprrefinelevel,integer,1,一次 SPR 调用允许的最大细化层级
isprcoarsenlevel,integer,-1,一次 SPR 调用允许的粗化层级；负值表示使用实现的默认/不强制粗化
iadapt_writevtk,integer,0,1 在自适应阶段写出 VTK 调试网格/尺寸场
iadapt_writesmb,integer,1,1 写出 SCOREC `.smb` 自适应网格快照，便于重启或检查
iadapt_useH1,integer,0,1 用 H1 型误差度量替代默认高阶度量构造目标尺寸
iadapt_removeEquiv,integer,0,1 在误差估计前去掉环向等价节点/重复贡献，供周期网格的专用适配路径使用
adapt_target_error,real,0.0001,普通误差自适应的目标/触发误差；估计误差未超过它时不换网格
adapt_ke,real,0.0,线性计算中触发动态自适应的动能阈值；0 不使用该触发条件
iadapt_ntime,integer,0,普通动态自适应检查的时间步周期；非线性且为 0 时当前流程可每步检查
iadapt_max_node,integer,10000,自适应后允许的节点数上限，用于限制内存和网格增长
adapt_control,integer,1,误差到目标尺寸的控制模式/方向参数；常规保持默认 1
iadapt_order_p,real,3.0,误差随网格尺寸收敛的假定阶数，用于由目标误差反算目标尺寸
iadaptFaceNumber,integer,-1,只适配指定几何模型 face 的编号；-1 表示不按单一 face 限制
iadapt_snap,integer,1,1 时把新边界节点投影/贴合回既有几何模型边界；不会创建新的壁面或 LCFS
adapt_factor,real,1.,保留的自适应缩放输入；当前活动程序未读取其值，修改它不会改变网格
adapt_hmin,real,0.001,磁通/误差尺寸场允许的绝对最小单元尺度
adapt_hmax,real,0.1,磁通/误差尺寸场允许的绝对最大单元尺度
adapt_hmin_rel,real,0.5,相对当前单元尺寸的一次最小缩放比，限制单次细化幅度
adapt_hmax_rel,real,2.0,相对当前单元尺寸的一次最大缩放比，限制单次粗化幅度
adapt_smooth,real,2./3. (约 0.6667),保留的尺寸场平滑输入；当前活动程序未读取其值
adapt_psin_vacuum,real,-1.,按磁通适配时 vacuum 区的归一化磁通阈值/目标范围；负值关闭该专用阈值
adapt_psin_wall,real,-1.,按磁通适配时 wall 区的归一化磁通阈值/目标范围；负值关闭该专用阈值
iadapt_pack_rationals,integer,0,Number of mode-rational surfaces to pack mesh around
adapt_pack_factor,real,0.02,Width of Lorentzian (in psi_N) for rational mesh packing
adapt_coil_delta,real,0.,Parameter for packing mesh around coil locations
adapt_pellet_length,real,0.,Length of pellet path to pack mesh along
adapt_pellet_delta,real,0.,Parameter for packing mesh along pellet path
iheat_sink,integer,0,1 启用 `itaylor=27` 专用热沉；其它平衡类型下不产生通用热沉
vloop,real,0.,施加在环向 Ohm/磁通方程中的回路电压幅值；无电流反馈时按 `vloop*cos(2*pi*vloop_freq*t)` 使用
vloopRZ,real,0.,R-Z/极向磁场方程使用的回路电压分量，独立于主环向 `vloop`
tcur,real,0.,电流反馈的目标总等离子体电流；若给定 `tcuri/tcurf`，运行时目标可被时间 ramp 覆盖
vloop_freq,real,0.,Loop voltage frequency
tcuri,real,0.,电流反馈 tanh ramp 的初始目标电流
tcurf,real,0.,电流反馈 tanh ramp 的最终目标电流
tcur_t0,real,0.,目标电流 tanh ramp 的中心时间
tcur_tw,real,0.,目标电流 tanh ramp 的时间宽度；用于从 `tcuri` 平滑过渡到 `tcurf`
control_p,real,0.,`control_type=1` 电流 PID 的比例增益 P
control_i,real,0.,`control_type=1` 电流 PID 的积分增益 I
control_d,real,0.,`control_type=1` 电流 PID 的微分增益 D
control_type,integer,-1,-1 不启用电流控制；0 旧算法；1 标准 PID，配合 `control_p/i/d`
ipellet,integer,0,1 = include a gaussian pellet source；选择密度源分布；正值为持续源，负值用于初始扰动；双位数分布按 `Lor_vol` 数值归一化
irestart_pellet,integer,0,1 = read some pellet restart parameters from C1input；restart 时仍从 C1input 覆盖部分 pellet 参数，如 pellet_rate、pellet_var_tor、pellet_var、cloud_pel、pellet_mix、cauchy_fraction
ipellet_z,integer,0,Atomic number of pellet (0 = main ion species)
iread_pellet,integer,0,"1: read pellet info from pellet.dat；0 用标量 pellet_* 定义单 pellet；1 读 `pellet.dat`，每行一个 pellet，列为 r,phi,z,rate,var,var_tor,velr,velphi,velz,r_p,cloud_pel,pellet_mix,cauchy_fraction"
pellet_r,real,0.,Initial radial position of the pellet
pellet_phi,real,0.,Initial toroidal position of the pellet
pellet_z,real,0.,Initial vertical position of the pellet
pellet_rate,real,0.,源项/汇项相关速率/源强参数，表示注入、损失、冷却、控制或演化的强度
pellet_var,real,1.,源项/汇项相关宽度/方差参数，用于定义剖面过渡层、Gaussian 分布或数值平滑尺度
pellet_var_tor,real,0.,读入后若 <=0 会自动补值：`ipellet=15` 用 `pellet_var/pellet_r`，其它分支用 `pellet_var`
pellet_velr,real,0.,Initial radial velocity of the pellet
pellet_velphi,real,0.,Initial toroidal velocity of the pellet
pellet_velz,real,0.,Initial vertical velocity of the pellet
ipellet_abl,integer,0,1 = include an ablation model；选择 pellet ablation 模型；1/2 lithium，3 neon，43 carbon/Sergeev06。`ipellet_z=0` 时会由模型推断默认 Z
ipellet_fixed_dep,integer,0,1 = use fixed input pellet_var when ipellet_abl=1
r_p,real,1.e-3,pellet 实体半径，供 ablation 模型计算剩余粒子数和烧蚀率；不是沉积 Gaussian 宽度
cloud_pel,real,1.,pellet ablation 云团/沉积宽度的乘性系数，控制烧蚀物质相对 pellet 的扩散尺度
pellet_mix,real,0.,Molar fraction of deuterium in pellet
temin_abl,real,0.,Min. Temp. at which ablation turns on
cauchy_fraction,real,0.,"For ipellet=14, fraction of distribution that is Cauchy, vs von Mises"
abl_fac,real,1.,Factor multiplying calculated ablation rate
ibeam,integer,0,GE 1: Include neutral beam source
beam_x,real,0.,R-coordinate of beam center
beam_z,real,0.,Z-coordinate of beam center
beam_v,real,1.e4,Beam voltage (in volts)
beam_rate,real,0.,Ions/second deposited by beam
beam_dr,real,0.1,Dispersion of beam deposition
beam_dv,real,100.,Dispersion of beam voltage (in volts)
beam_fracpar,real,1.0,Cosine of beam angle relative to parallel
icd_source,integer,0,1: Include current drive source
J_0cd,real,0.,amplitude of current drive
R_0cd,real,0.,R-coordinate of cd maximum
Z_0cd,real,0.,Z-coordinate of cd maximum
W_cd,real,0.,width of cd gaussian
delta_cd,real,0.,shift of cd gaussian
ipforce,integer,0,1: Include Poloidal momentum source
dforce,real,0.,half-width of poloidal momentum source
xforce,real,0.,"location [0,1] of poloidal momentum source"
nforce,integer,0,exponent of (1-x) multiplying poloidal mom. source
aforce,real,0.,magnitude of poloidal momentum source
igaussian_heat_source,integer,0,Include gaussian heat source
ghs_x,real,0.,R coordinate of gaussian heat source
ghs_z,real,0.,Z coordinate of gaussian heat source
ghs_phi,real,0.,Phi coordinate of gaussian heat source
ghs_rate,real,0.,Amplitude of gaussian heat source
ghs_var,real,1.,Variance of gaussian heat source
ghs_var_tor,real,0.,Toroidal variance of gaussian heat source
ionization,integer,0,1 在主离子密度方程加入温度门控的电离粒子源，并可用 `coolrate` 从热方程扣除能量
ionization_rate,real,0.,源项/汇项相关速率/源强参数，表示注入、损失、冷却、控制或演化的强度
coolrate,real,0.,源项/汇项相关速率/源强参数，表示注入、损失、冷却、控制或演化的强度
ionization_temp,real,0.01,电离源中的特征温度，同时出现在 Arrhenius 型 `exp(-Tion/T)` 因子和高温衰减门控中
ionization_depth,real,0.01,温度高于 `ionization_temp` 后电离源指数衰减的温度宽度
isink,integer,0,启用局部 Gaussian 粒子汇的数量：1 使用 sink1，2 同时使用 sink1 和 sink2
sink1_x,real,0.,源项/汇项相关几何位置参数，用于给定 R/Z/phi 等空间坐标
sink1_z,real,0.,源项/汇项相关几何位置参数，用于给定 R/Z/phi 等空间坐标
sink1_rate,real,0.,源项/汇项相关速率/源强参数，表示注入、损失、冷却、控制或演化的强度
sink1_var,real,1.,源项/汇项相关宽度/方差参数，用于定义剖面过渡层、Gaussian 分布或数值平滑尺度
sink2_x,real,0.,源项/汇项相关几何位置参数，用于给定 R/Z/phi 等空间坐标
sink2_z,real,0.,源项/汇项相关几何位置参数，用于给定 R/Z/phi 等空间坐标
sink2_rate,real,0.,源项/汇项相关速率/源强参数，表示注入、损失、冷却、控制或演化的强度
sink2_var,real,1.,源项/汇项相关宽度/方差参数，用于定义剖面过渡层、Gaussian 分布或数值平滑尺度
iarc_source,integer,0,1 启用与壁面法向电流和 wall-distance 相关的 arc 粒子源
arc_source_alpha,real,0.,arc 粒子源的总幅值系数，乘正向法向电流
arc_source_eta,real,0.01,arc 源随 wall-distance 的尺度长度，形状含 `(w/eta)*exp(-w/eta)`
idenfloor,integer,0,1 在外侧非 plasma magnetic region 加入恢复型密度源，把密度拉向 `den_edge`；它不是逐节点硬截断
alphadenfloor,real,0.,密度恢复源 `alphadenfloor*(den_edge-n)` 的速率系数
n_target,real,1.,pellet 密度反馈所追踪的目标全局粒子数/密度诊断量
n_control_p,real,0.,`n_control_type=1` pellet-rate PID 的比例增益
n_control_i,real,0.,pellet-rate PID 的积分增益
n_control_d,real,0.,pellet-rate PID 的微分增益
n_control_type,integer,-1,-1 不启用密度控制；0 旧算法；1 标准 PID，配合 `n_control_p/i/d`
iprad,integer,0,1: Teng's PRad module with one impurity species；1 启用 Teng PRAD 单杂质辐射模型；当前 PRAD 表中 C/Ar/Fe 常用
prad_z,integer,1,Z of impurity species in PRad module；PRAD 杂质电荷数；程序警告只实现 6、18、26
prad_fz,real,1.,"Density of impurity species in PRad module, as fraction of ne"
iread_prad,integer,0,1: Read impurity density from profile_nz in units of 10^20 / m^3
ikprad,integer,0,1: KPRad module with one impurity species；0 关闭；1 使用 KPRAD；-1 需 USEADAS 编译，使用 ADAS 数据；0 关闭；1 使用内置 KPRAD polynomial fit；-1 在 `USEADAS` 编译时读 ADAS ADF11，否则报错
kprad_z,integer,1,Z of impurity species in KPRad module
ikprad_evolve_neutrals,integer,0,Model for advection/diffusion of neutrals；0 中性粒子不对流不扩散；1 推荐：同其它电荷态对流扩散；2 只扩散不对流
kprad_fz,real,0.,"Density of neutral impurity species in KPRad module, as fraction of ne"
kprad_nz,real,0.,Density of neutral impurity species in KPRAD module
iread_lp_source,integer,0,Read source from Lagrangian Particle code
ikprad_min_option,integer,1,Control behavior for KPRAD minimum density & temperature；1 低 ne/Te 时无辐射/电离/复合；2 推荐：允许复合但无辐射/电离；3 按 subcycling 中 ne/Te 判断无辐射/电离/复合
kprad_nemin,real,1e-12,Minimum elec. density for KPRAD evolution
kprad_temin,real,2e-7,Minimum elec. temperature for KPRAD evolution
ikprad_max_dt,integer,0,Use maximum value of dt for KPRAD ionization；0 用 MHD dt；1 推荐用 dt/(kprad_z+1)；也可配合 `kprad_max_dt` 显式限制
kprad_max_dt,real,-1.,Specify maximum value of dt for KPRAD ionization
ikprad_evolve_internal,integer,0,Internally evolve ne and Te within KPRAD ionization
kprad_n0_denm_fac,real,1.,Scaling factor for neutral impurity diffusion
adas_adf11,character(len=256),"""""",Path to ADAS folder with ADF11 data；仅在满足条件编译 `ifdef USEADAS` 时可用
kinetic_fast_ion,integer,1,1: Enable fast ion PIC；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
kinetic_thermal_ion,integer,0,1: Enable thermal ion PIC and density coupling between MHD and PIC；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
igyroaverage,integer,0,1: Enable gyro-averaging for PIC simulation；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
particle_linear,integer,-1,1: Solve linear delta-f equation. 0: Include nonlinear terms in delta-f；`particle_linear=-1` 时改为当前 `linear`；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
particle_substeps,integer,40,Number of substeps for particle pushing in one subcycle；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
particle_subcycles,integer,1,Number of subcycles for particle pushing in one MHD timestep；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
particle_couple,integer,0,-1: No coupling (test particle). 0: Pressure coupling. 1: Current coupling；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
particle_nodelete,integer,0,"Do not call delete_particle, keep particles' order；仅在满足条件编译 `ifdef USEPARTICLES` 时可用"
iconst_f0,integer,0,Use a constant f0 for delta-f equation；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
ifullf,integer,0,Do full-f simulation；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
fast_ion_mass,real,0.,Fast ion mass (in units of m_p)；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
fast_ion_z,real,0.,Zeff of fast ion；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
fast_ion_dist,integer,1,Type of fast ion distribution function. 0: Read 3D distribution from file. 1: Maxwellian. 2. slowing-down.；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
fast_ion_max_energy,real,1000.,Maximum energy of fast ion for slowing-down distribution；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
num_par_max,integer,4000000,Maximum number of particles；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
num_par_scale,real array,1.,Scaling factor for particle number initialization；仅在满足条件编译 `ifdef USEPARTICLES` 时可用；数组长度/上限：2
kinetic_nrmfac_scale,real array,1.,Scaling factor of the normalization term in particle phase space integration；仅在满足条件编译 `ifdef USEPARTICLES` 时可用；数组长度/上限：2
ikinetic_vpar,integer,0,1: Synchronize particle parallel flow to MHD；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
kinetic_rhomax,real,1.,Maximum rho for kinetic particle；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
vpar_reduce,real,0.,Factor of parallel flow reduction for every timestep；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
idiamagnetic_advection,integer,0,1: Enable diamagnetic velocity advection term in momentum equation；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
imode_filter,integer,0,Number of toroidal mode to be filtered；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
mode_filter_ntor,integer array,0,Toroidal mode number to be filtered；仅在满足条件编译 `ifdef USEPARTICLES` 时可用；数组长度/上限：100
smooth_par,real,1.e-8,Smoothing factor for particle pressure；仅在满足条件编译 `ifdef USEPARTICLES` 时可用
smooth_dens_parallel,real,0.,"Smoothing factor for electron density in parallel direction, used for calculating parallel electric field；仅在满足条件编译 `ifdef USEPARTICLES` 时可用"
xray_detector_enabled,integer,0,1: enable xray detector
xray_r0,real,0.,R coordinate of xray detector
xray_phi0,real,0.,Phi coordinate of xray detector
xray_z0,real,0.,Z coordinate of xray detector
xray_theta,real,0.,Angle of xray detector chord (degrees)
xray_sigma,real,1.,Spread of xray detector chord (degrees)
imag_probes,integer,0,Number of magnetic probes；磁探针数量；对应数组用 `mag_probe_x(i)` 等一基索引给出
mag_probe_x,real array,0.,X-coordinate of magnetic probes；数组长度/上限：100
mag_probe_phi,real array,0.,Phi-coordinate of magnetic probes；数组长度/上限：100
mag_probe_z,real array,0.,Z-coordinate of magnetic probes；数组长度/上限：100
mag_probe_nx,real array,0.,X-component of magnetic probe normal；数组长度/上限：100
mag_probe_nphi,real array,0.,Phi-component of magnetic probe normal；数组长度/上限：100
mag_probe_nz,real array,0.,Z-component of magnetic probe normal；数组长度/上限：100
iflux_loops,integer,0,Number of flux loops；磁通环数量；对应数组用 `flux_loop_x(i)`、`flux_loop_z(i)` 一基索引给出
flux_loop_x,real array,0.,X-coordinate of flux loop；数组长度/上限：100
flux_loop_z,real array,0.,Z-coordinate of flux loop；数组长度/上限：100
ifixed_temax,integer,0,"if nonzero, evaluate temax at xmag0,zmag0"
iprint,integer,0,终端日志详细度：0 最少；1 打印主要步骤/迭代；2 及以上打印更多矩阵、系数和输出阶段信息。它不控制 HDF5 字段内容
ntimepr,integer,1,Number of time steps per field output
ntimers,integer,0,Number of time steps per restart output；0 表示校验后取 `ntimepr`；否则为 restart 输出周期；`ntimers<=0` 时程序把它设为 `ntimepr`
ifout,integer,-1,-1 表示校验后按编译维度默认：3D 输出 f，2D 不输出；也可显式 0/1；`ifout=-1` 在 `validate_input` 中改为 `i3d`：3D 默认输出 f 场，2D 默认不输出
icalc_scalars,integer,1,1: Calculate scalar diagnostics
ike_only,integer,0,1: Only calculate ke scalar diagnostic
ike_harmonics,integer,0,Number of Fourier harmonics of ke to be calculated and output
ibh_harmonics,integer,0,Number of Fourier harmonics of magnetic perturbation to be calculated and output
irestart,integer,0,0 从头启动；1 从 HDF5 restart；2 用 restart 初始化 GS；3 用 2D real restart 初始化 2D complex
itimer,integer,0,1: Output internal timer data
iwrite_transport_coeffs,integer,1,1: Output transport coefficient fields
iwrite_aux_vars,integer,1,1: Output auxiliary variable fields
iwrite_adjacency,integer,1,1: Output mesh adjacency info
iwrite_quad_points,integer,0,1: Output integration quadrature points
itemp_plot,integer,0,1: Output additional temperature plots
ibdgp,integer,0,ne.0: bdgp plot contains only partial results
idouble_out,integer,0,1: Use double-precision floating points in output
irestart_slice,integer,-1,Field output slice from which to restart；-1 从 HDF5 中最后一个已保存时间片重启；非负值选择指定时间片索引，并在同一输出文件中删除其后的时间片组后续写
iveldif,integer,0,ne.0: veldif plot contains only partial results
write_ts_on_job_timeout,integer,0,1: Write time slice and stop code before job hits timeout or is preempted
gam,real,5./3. (约 1.6667),Ratio of specific heats
db,real,-1.,Collisionless ion skin depth (overrides db_fac)；默认 -1，表示按物理归一化自动计算 ion skin depth 并乘以 `db_fac`；若显式给非负值则覆盖；`db<0` 时程序按 `b0_norm/n0_norm/l0_norm/ion_mass` 计算物理 ion skin depth，再乘 `db_fac`；显式给非负 `db` 会覆盖该自动计算
db_fac,real,0.,Factor multiplying physical value of ion skin depth；`db<0` 时乘在物理 ion skin depth 上；默认 0 等价于关闭 two-fluid skin-depth 贡献
mass_ratio,real,0.,已注册但当前活动计算未读取的兼容参数；电子/离子质量比由内部常数和 `ion_mass` 形成，用户不应依赖此值
lambdae,real,0.,已注册但当前活动计算未读取的兼容参数；不会单独打开电子惯性或改变广义 Ohm 定律
z_ion,real,1.,Z effective
ion_mass,real,1.,Ion mass (in units of m_p)
lambda_coulomb,real,17.,Coulomb logarithm
thermal_force_coeff,real,0.,Coefficient of thermal force
ntor,integer,0,Toroidal mode number；2D/complex 线性模拟的环向模数；RMP 等也会使用
mpol,integer,0,若干测试/外场/REKC 设置中使用的极向模数
ibform,integer,-1,旧磁场形式开关的占位参数，读入后写入 dummy 变量；当前方程形式不会随它改变
igs_method,integer,-1,旧 GS 算法选择的占位参数，当前 GS 求解器不读取其值
iwrite_restart,integer,0,1: Write restart files
zeff,real,0.,zeff is deprecated. Use z_ion instead.
ivform,integer,1,ivform is deprecated. Only ivform=1 is now implemented.
iwrite_adios,integer,0,iwrite_adios is deprecated.
iglobalout,integer,0,iglobalout is deprecated
iglobalin,integer,0,iglobalin is deprecated
iread_adios,integer,0,iread_adios is deprecated
iread_hdf5,integer,1,iread_hdf5 is deprecated
